-;more then one airline
JP;Adria Airways
A3;Aegean Airlines
AC;Air Canada
RV;Air Canada Rouge
CA;Air China
AI;Air India
NZ;Air New Zealand
NH;All Nippon Airways
OZ;Asiana Airlines
OS;Austrian Airlines
AV;Avianca
TA;TACA-Avianca El Salvador
LR;LACSA-Avianca Costa Rica
A0;Avianca(Argentina)
O6;Avianca(Brasil)
SN;Brussels Airlines
CM;Copa Airlines
OU;Croatia Airlines
MS;EgyptAir
ET;Ethiopian Airlines
BR;EVA Air
LO;LOT Polish Airlines
LH;Lufthansa
SK;Scandinavian Airlines
ZH;Shenzhen Airlines
SQ;Singapore Airlines
SA;South African
LX;Swiss International
TP;TAP Air Portugal
TG;Thai Airways
TK;Turkish Airlines
UA;United Airlines
AA;American Airlines
AB;Air Berlin
AY;Finnair
BA;British Airways
CX;Cathay Pacific
HG;NIKI
IB;IBERIA
JC;Japan Air Commuter
JJ;LATAM Airlines Brasil
JL;Japan Airlines
KA;Cathay Dragon
LA;LATAM Airlines
MH;Malaysia Airlines
NU;Japan Transocean Air
QF;Qantas
QR;Qatar Airways
RJ;Royal Jordanian
S7;Siberia Airlines
UL;SriLankan Airlines
XL;LATAM Ecuador
HA;Hawaiian Airlines
TN;Air Tahiti Nui
AS;Alaska Airlines
EY;Etihad Airways
FJ;Fiji Airways
GF;Gulf Air
BB;Seaborne
WS;WestJet
